,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
210,2019/07/30,N,0,12,141691,26℃,31℃,多云,82388,78338,Y,0,19.608
211,2019/07/31,N,0,12,141691,25℃,31℃,多云,80138,78176,Y,0,13.6
212,2019/08/01,N,0,12,141691,25℃,30℃,多云,76933,73775,Y,0,15.323
213,2019/08/02,N,0,12,141691,25℃,30℃,多云,83784,77986,Y,0,24.553
214,2019/08/03,Y,週六,12,141691,25℃,30℃,多云,89977,83131,N,0,42.581
215,2019/08/04,Y,週日,12,141691,25℃,30℃,晴,94395,90844,Y,0,53.297
216,2019/08/05,N,0,12,141691,26℃,30℃,多云,83844,81426,Y,0,31.772
217,2019/08/06,N,0,12,141691,26℃,31℃,多云,80172,75911,Y,0,26.677
218,2019/08/07,N,0,12,141691,26℃,30℃,小雨~中雨,89520,83339,Y,0,26.154
219,2019/08/08,N,0,12,141691,27℃,30℃,大雨,84766,78157,N,0,30.057
220,2019/08/09,N,0,12,141691,27℃,31℃,暴雨~阴,90495,83191,Y,0,66.264
221,2019/08/10,Y,週六,12,141691,28℃,33℃,阴,94586,81841,Y,0,43.091
222,2019/08/11,Y,週日,12,141691,27℃,32℃,阴,92915,88685,Y,0,37.817
223,2019/08/12,N,0,12,141691,26℃,31℃,小雨~多云,86828,81584,Y,0,15.468
224,2019/08/13,N,0,12,141691,26℃,31℃,多云,81005,74570,Y,0,25.207
225,2019/08/14,N,0,12,141691,26℃,31℃,小雨~阴,85156,78659,Y,0,28.876
226,2019/08/15,N,中元節,12,141691,26℃,31℃,小雨~多云,80708,79232,Y,0,20.428
227,2019/08/16,N,0,12,141691,26℃,30℃,小雨~多云,87087,82390,Y,0,29.482
228,2019/08/17,Y,週六,12,141691,25℃,31℃,小雨~多云,88323,79167,Y,0,38.848
229,2019/08/18,Y,週日,12,141691,24℃,29℃,暴雨~大雨,89870,89576,Y,0,41.755
230,2019/08/19,N,0,12,141691,25℃,28℃,大雨~小雨,78586,77729,Y,0,38.325
231,2019/08/21,N,0,12,141691,26℃,29℃,小雨~多云,80793,82309,Y,0,17.201
232,2019/08/22,N,0,12,141691,25℃,31℃,多云,73666,79460,Y,0,23.247
233,2019/08/23,N,0,12,141691,26℃,31℃,多云~中雨,45340,51003,Y,0,24.998
234,2019/08/24,Y,週六,12,141691,26℃,29℃,中雨~小雨,100087,94535,Y,0,43.19
235,2019/08/25,Y,週日,12,141691,26℃,31℃,小雨~阴,94702,96428,Y,0,45.0
236,2019/08/26,N,0,12,141691,25℃,30℃,阴~多云,79602,79372,Y,0,24.977
237,2019/08/27,N,0,12,141691,26℃,31℃,多云,72213,81471,Y,0,23.795
238,2019/08/28,N,0,12,141691,26℃,31℃,多云,80123,86895,Y,0,21.915
239,2019/08/29,N,0,12,141691,25℃,31℃,多云~小雨,75631,83071,Y,0,15.758
240,2019/08/30,N,0,12,141691,25℃,29℃,中雨~阴,81908,95396,Y,0,10.958
241,2019/08/31,Y,週六,12,141691,25℃,30℃,多云,85842,89570,Y,0,39.218
242,2019/09/01,Y,週日,12,141691,26℃,30℃,多云,84440,95061,Y,0,40.024
243,2019/09/02,N,0,12,141691,25℃,30℃,多云~阴,82251,89439,Y,0,28.853
244,2019/09/03,N,軍人節,12,141691,25℃,30℃,多云~小雨,76750,82758,Y,0,26.181
245,2019/09/04,N,0,12,141691,25℃,28℃,小雨~大雨,80455,86007,Y,0,19.861
246,2019/09/05,N,0,12,141691,25℃,28℃,大雨~小雨,77824,81536,Y,0,17.367
247,2019/09/06,N,0,12,141691,25℃,31℃,多云,87760,87922,Y,0,25.554
248,2019/09/07,Y,週六,12,141691,25℃,31℃,阴~多云,66582,69555,Y,0,32.662
249,2019/09/08,Y,週日,12,141691,24℃,30℃,小雨~晴,104119,92054,Y,0,44.174
250,2019/09/09,N,0,12,141691,25℃,30℃,多云,93464,83309,Y,0,25.898
251,2019/09/10,N,0,12,141691,25℃,31℃,多云,83326,78086,Y,0,21.819
252,2019/09/11,N,0,12,141691,25℃,31℃,多云,83470,76710,N,0,13.3
253,2019/09/12,N,0,12,141691,25℃,31℃,多云,83600,73659,Y,0,22.498
254,2019/09/13,Y,中秋節,12,141691,25℃,31℃,多云,77378,78082,Y,0,18.608
255,2019/09/14,Y,週六,12,141691,25℃,30℃,多云~小雨,78071,76782,Y,0,30.3
256,2019/09/15,Y,週日,12,141691,25℃,29℃,小雨,79919,82933,Y,0,25.592
257,2019/09/16,N,0,12,141691,24℃,29℃,多云~小雨,66666,76345,Y,0,49.963
258,2019/09/17,N,0,12,141691,25℃,28℃,阴~小雨,63105,68975,Y,0,44.725
259,2019/09/18,N,0,12,141691,24℃,28℃,小雨,66367,69975,Y,0,25.038
260,2019/09/19,N,0,12,141691,24℃,27℃,阴~小雨,69597,67545,Y,0,18.21
261,2019/09/20,N,0,12,141691,22℃,26℃,大雨,81434,74054,Y,0,18.508
262,2019/09/21,Y,週六,12,141691,23℃,26℃,中雨~阴,75692,67155,Y,0,52.8
263,2019/09/22,Y,週日,12,141691,22℃,27℃,阴~多云,82965,75143,Y,0,42.125
264,2019/09/23,N,0,12,141691,22℃,26℃,多云,63930,63000,Y,0,31.296
265,2019/09/24,N,0,12,141691,22℃,26℃,多云,68602,57105,Y,0,25.926
266,2019/09/25,N,0,12,141691,21℃,25℃,多云,73208,66111,Y,0,12.302
267,2019/09/26,N,0,12,141691,22℃,25℃,小雨~中雨,77443,70865,Y,0,19.112
268,2019/09/27,N,0,12,141691,23℃,25℃,中雨~小雨,68007,69462,Y,0,19.327
269,2019/09/28,Y,教師節,12,141691,23℃,26℃,小雨,65982,61528,Y,0,51.024
270,2019/09/29,Y,週日,12,141691,24℃,27℃,小雨~中雨,84314,87941,Y,0,49.612
271,2019/09/30,N,0,12,141691,23℃,25℃,大暴雨~暴雨,71948,83765,Y,0,50.613
272,2019/10/01,N,0,12,141691,23℃,28℃,多云,65660,77139,Y,0,23.213
273,2019/10/02,N,0,12,141691,23℃,29℃,多云,60577,73920,Y,0,17.81
274,2019/10/03,N,0,12,141691,22℃,27℃,小雨~多云,62788,70924,Y,0,15.302
275,2019/10/04,N,0,12,141691,22℃,27℃,晴,75508,77135,Y,0,23.097
276,2019/10/05,N,0,12,141691,23℃,27℃,多云~小雨,78992,69718,Y,0,39.117
277,2019/10/06,Y,週日,12,141691,22℃,26℃,多云~晴,83161,77532,Y,0,60.229
278,2019/10/07,N,重陽節,12,141691,22℃,27℃,晴~多云,77517,77948,Y,0,8.341
279,2019/10/08,N,0,12,141691,22℃,26℃,多云~小雨,73456,67094,Y,0,20.012
280,2019/10/09,N,0,12,141691,21℃,25℃,多云~晴,77187,68240,Y,0,22.698
281,2019/10/10,Y,國慶日/雙十節彈性放假,12,141691,20℃,25℃,晴,76806,64425,Y,0,32.94
282,2019/10/11,Y,雙十節彈性放假,12,141691,21℃,26℃,晴,88328,67952,Y,0,25.861
283,2019/10/12,Y,週六,12,141691,21℃,26℃,多云,86963,64205,Y,0,32.33
284,2019/10/13,Y,週日,12,141691,21℃,25℃,多云,84485,65004,Y,0,37.747
